episode_id,step,action,action_name,uav_x,uav_y,uav_z,connected_users,total_users,connectivity_ratio,coverage,mean_path_gain,mean_rss,mean_sinr,reward,cumulative_reward
1,0,0,Initial (Hover),-45.0,50.0,12.0,2,10,0.2,20.0,-82.27,-52.27,41.73,0.0,0.0
1,1,2,Move +X,-35.0,50.0,12.0,5,10,0.5,50.0,-79.76,-49.76,44.24,0.4403,0.4403
1,2,2,Move +X,-25.0,50.0,12.0,4,10,0.4,40.0,-79.41,-49.41,44.59,0.3128,0.7531
1,3,3,Move -Y,-25.0,40.0,12.0,6,10,0.6,60.0,-78.72,-48.71,45.29,0.4778,1.2309
1,4,2,Move +X,-15.0,40.0,12.0,5,10,0.5,50.0,-78.0,-48.0,46.0,0.3729,1.6037
1,5,3,Move -Y,-15.0,30.0,12.0,8,10,0.8,80.0,-74.69,-44.69,49.31,0.6265,2.2302
1,6,0,Stay (Hold),-15.0,30.0,12.0,8,10,0.8,80.0,-74.69,-44.69,49.31,0.6165,2.8467
